,index,0
0,hello,111
1,uh,159
2,sure.,27
3,so,836
4,there,124
5,is,502
6,a,515
7,policy,31
8,right,137
9,that,637
10,if,279
11,you,997
12,apply,18
13,for,351
14,leave,50
15,more,81
16,than,27
17,three,27
18,days,36
19,have,511
20,to,938
21,give,50
22,15,4
23,of,462
24,notice.,2
25,when,51
26,try,16
27,two,28
28,also,137
29,and,902
30,keep,14
31,it,473
32,as,107
33,monday,1
34,friday,4
35,kicker,1
36,does,5
37,not,187
38,allow,2
39,that.,80
40,this,294
41,something,78
42,i,810
43,recently,7
44,faced.,1
45,the.,23
46,the,1110
47,second.,4
48,we,720
49,can,413
50,connect.,2
51,yep.,12
52,client.,4
53,yeah.,316
54,plus,3
55,one,159
56,purest,1
57,point,63
58,right.,144
59,like,571
60,around,19
61,22,2
62,leaves,31
63,pending,3
64,so.,57
65,build,8
66,went,7
67,bus,3
68,going,46
69,there.,19
70,yes.,58
71,ok.,198
72,last,36
73,night,4
74,itself,11
75,was,109
76,just,185
77,through,25
78,with,166
79,linkedin,23
80,then,109
81,find,6
82,out,73
83,paper,6
84,how,119
85,example,17
86,particular,34
87,about,126
88,forecasting,5
89,in.,12
90,lots,3
91,retail,2
92,project,69
93,where,62
94,people,140
95,use,18
96,amazon,1
97,4180,1
98,countries,2
99,data,30
100,set,10
101,400,1
102,million,1
103,sql,28
104,don't,115
105,know,359
106,exact,2
107,number,6
108,but,178
109,it's,197
110,very,89
111,huge,3
112,do,154
113,forecasting.,1
114,found,3
115,prefers,1
116,they,157
117,explain,6
118,they're,15
119,evolved,1
120,respect,5
121,time,77
122,what,205
123,current,6
124,model,5
125,are,320
126,using,9
127,right?,170
128,thing,84
129,group,8
130,2-3,6
131,which,87
132,invest,2
133,week,14
134,or,234
135,three-week.,1
136,share,41
137,knowledge,19
138,session,22
139,all,134
140,team,55
141,everyone,48
142,problem,24
143,facing,5
144,simply,3
145,add,27
146,value,2
147,our,77
148,solutions.,2
149,think,201
150,company,24
151,wise,2
152,need,39
153,whoever,8
154,interested,12
155,go,96
156,13,2
157,window,2
158,day,30
159,even,42
160,month,22
161,few,22
162,codes,1
163,they'll,2
164,arithmos.,1
165,session.,5
166,happy,13
167,maybe,84
168,note,25
169,hour,4
170,notice,6
171,ppt,1
172,based,11
173,will,231
174,be,378
175,2,7
176,hours,5
177,little,17
178,bit,15
179,deep,3
180,into,26
181,model.,2
182,main,6
183,question,19
184,why,21
185,what's,6
186,benefit,2
187,still.,3
188,officially,1
189,well,39
190,make,51
191,a.,12
192,click,1
193,quarter,5
194,work,41
195,on,281
196,put,24
197,company.,4
198,ok,131
199,see,62
200,you.,112
201,small,6
202,you're,54
203,statement,5
204,specific,15
205,solution,10
206,might,26
207,different,25
208,technology,4
209,in,415
210,general,18
211,because,101
212,sometimes,5
213,tune,1
214,some,124
215,method,3
216,other,89
217,cases,3
218,that's,118
219,important,10
220,like.,24
221,upskilling,54
222,basically,27
223,topic.,10
224,skills,13
225,someone,25
226,else,36
227,better,27
228,skill,15
229,my,91
230,requirement,2
231,different.,3
232,person,32
233,academic,1
234,course,14
235,say,85
236,at,65
237,take,49
